id_municipio,nome_municipio,sigla_uf,nome_regiao,gap_meta_2024,alunos_no_teste,soma_proba,soma_peso,prob_media_alfabetizacao
1503705,Itupiranga,PA,Norte,-5.95,75,26.733866297243182,86.12000024318695,0.310425757335714
2919926,Madre de Deus,BA,Nordeste,-6.19,35,10.887618938883536,35.0,0.3110748268252439
2803203,Itaporanga d'Ajuda,SE,Nordeste,-7.22,48,17.717943566345305,56.88000011444092,0.3114968975157756
1507805,Senador José Porfírio,PA,Norte,-6.9,47,17.95826776284777,57.48999905586243,0.312372030923116
2700706,Batalha,AL,Nordeste,-6.91,30,9.730272173390658,31.12999927997589,0.3125689816398285
4304630,Capão da Canoa,RS,Sul,,97,41.189187232951525,131.72974061965942,0.31267948330571926
1504950,Nova Esperança do Piriá,PA,Norte,-6.71,32,11.476100050311839,36.68999969959259,0.31278550406854516
1508308,Viseu,PA,Norte,-6.82,107,38.167909381881906,121.87999975681305,0.3131597428457357
2708006,Santana do Ipanema,AL,Nordeste,-7.64,76,24.43317132240676,77.86999917030334,0.31376873741799965
2914406,Iraquara,BA,Nordeste,-6.39,51,16.02987748899432,51.0,0.3143113233136141
2802809,Indiaroba,SE,Nordeste,-6.45,36,11.618680348414173,36.959999561309814,0.31435823826623505
1504604,Mocajuba,PA,Norte,-6.98,53,21.188019502137077,67.3799991607666,0.3144556213422193
2927002,Rio Real,BA,Nordeste,-6.16,42,13.20929736456099,42.0,0.314507080108595
3302270,Japeri,RJ,Sudeste,-6.37,142,54.37838538459452,172.86999893188477,0.3145623053195078
3301009,Campos dos Goytacazes,RJ,Sudeste,-6.41,617,233.5598408866963,742.4699997901917,0.31457141831009466
4314100,Passo Fundo,RS,Sul,-3.39,248,94.12805834634582,298.829074382782,0.3149896258948802
2704302,Maceió,AL,Nordeste,-5.79,1010,351.77262745999286,1115.3599963188171,0.31538931701065004
1500909,Augusto Corrêa,PA,Norte,-6.43,82,30.875028114533315,97.8799991607666,0.3154375600659895
1505486,Pacajá,PA,Norte,-6.55,65,25.077088005379288,79.47000014781952,0.3155541456994366
2914604,Irecê,BA,Nordeste,-6.03,101,31.975972320667946,101.0,0.31659378535314797
1507201,São Domingos do Capim,PA,Norte,-6.35,37,14.003529106460752,44.21999990940094,0.31667863263572
4310330,Imbé,RS,Sul,,51,22.016887824249135,69.37968921661377,0.31733909553138984
1505304,Oriximiná,PA,Norte,-6.8,119,45.634671034701086,143.65000009536743,0.31767957538743335
2804508,Nossa Senhora da Glória,SE,Nordeste,-3.92,64,21.545751202900565,67.80999970436096,0.3177370785553171
